name,date,open,high,low,close,volumn
IFEC,14-Oct-14,7.3,7.35,7.2,7.25,9635600
IFS,14-Oct-14,3.08,3.12,3.04,3.08,1258700
IHL,14-Oct-14,6.75,6.75,6.7,6.75,68100
ILINK,14-Oct-14,17.7,18,17.7,18,151500
IMPACT,14-Oct-14,10.3,10.4,10.3,10.3,1793800
INET,14-Oct-14,3.64,3.74,3.64,3.7,947800
INOX,14-Oct-14,1.51,1.59,1.51,1.53,101200
INTUCH,14-Oct-14,70.5,71.25,70.5,70.75,7277600
IRC,14-Oct-14,16.8,16.9,16.5,16.5,22300
IRCP,14-Oct-14,6.1,6.2,6.1,6.1,1914300
IRPC,14-Oct-14,3.4,3.5,3.38,3.44,40795300
IT,14-Oct-14,3.04,3.12,3.04,3.08,270000
ITD,14-Oct-14,5.4,5.5,5.4,5.45,50372400
IVL,14-Oct-14,24.2,24.5,24.1,24.2,7295300
JAS,14-Oct-14,6.4,6.5,6.35,6.35,50760000
JCT,14-Oct-14,115.5,117.5,115.5,117.5,1100
JMART,14-Oct-14,13.3,13.7,13.3,13.4,150500
JMT,14-Oct-14,17.6,17.9,17.6,17.9,15800
JTS,14-Oct-14,1.55,1.57,1.54,1.55,492200
JUBILE,14-Oct-14,42,42,41.25,41.25,23400
JUTHA,14-Oct-14,3.92,3.94,3.9,3.9,370500
KAMART,14-Oct-14,5.9,6.15,5.9,6.1,993700
KASET,14-Oct-14,3.34,3.66,3.34,3.44,7910000
KBANK,14-Oct-14,224,226,222,224,5610500
KBS,14-Oct-14,10.7,10.7,10.5,10.5,1656900
KC,14-Oct-14,1.39,1.45,1.38,1.42,2568600
KCAR,14-Oct-14,11.4,11.4,11.3,11.4,57800
KCE,14-Oct-14,40,40.5,39.75,40,1895600
KDH,14-Oct-14,87.75,87.75,87.5,87.5,500
KGI,14-Oct-14,3.28,3.3,3.26,3.28,2337800
KIAT,14-Oct-14,7.8,7.8,7.6,7.75,103500
KKC,14-Oct-14,2.96,2.96,2.92,2.96,249100
KKP,14-Oct-14,40,40.25,39.75,40.25,1461700
KPNPF,14-Oct-14,9.85,9.85,9.85,9.85,50000
KSL,14-Oct-14,13,13.4,13,13.4,293900
KTB,14-Oct-14,23.3,23.6,23.3,23.5,28037600
KTC,14-Oct-14,61.5,64.5,61,64.5,1120800
KTIS,14-Oct-14,10.9,11.1,10.8,10.9,2822100
KTP,14-Oct-14,2.3,2.36,2.2,2.34,1400000
KYE,14-Oct-14,257,258,257,257,1700
L&E,14-Oct-14,6.8,6.9,6.8,6.8,31500
LALIN,14-Oct-14,4.38,4.44,4.38,4.42,942300
LANNA,14-Oct-14,13.1,13.3,13.1,13.3,37400
LDC,14-Oct-14,4.62,4.68,4.6,4.62,1170700
LEE,14-Oct-14,2.94,2.94,2.92,2.92,199300
LH,14-Oct-14,9.85,9.95,9.8,9.95,8436800
LHBANK,14-Oct-14,1.79,1.8,1.77,1.77,14872000
LHK,14-Oct-14,3.48,3.5,3.46,3.48,453700
LHPF,14-Oct-14,8.8,8.8,8.75,8.75,560900
LIT,14-Oct-14,4.38,4.48,4.32,4.34,12455000
LIVE,14-Oct-14,0.28,0.29,0.27,0.28,24786900
LOXLEY,14-Oct-14,4.42,4.54,4.38,4.46,46995000
LPN,14-Oct-14,21.8,22,21.6,22,2378200
LRH,14-Oct-14,34,34,34,34,10200
LST,14-Oct-14,4.12,4.16,4.12,4.14,125200
LTX,14-Oct-14,71,71,71,71,200
LUXF,14-Oct-14,5.2,5.3,5.2,5.2,7400
M,14-Oct-14,59.75,60,59,59.75,377300
M-CHAI,14-Oct-14,200,200,200,200,500
M-STOR,14-Oct-14,10.9,11,10.8,10.9,148100
MACO,14-Oct-14,1.76,1.78,1.73,1.74,16398100
MAJOR,14-Oct-14,23.8,24,23.7,23.9,1169300
MAKRO,14-Oct-14,38,38.25,37.75,38,169200
MALEE,14-Oct-14,36.25,36.5,35.75,36.5,136700
MANRIN,14-Oct-14,24.5,24.5,24.5,24.5,1200
MATCH,14-Oct-14,2.84,2.88,2.84,2.84,676800
MATI,14-Oct-14,6.8,7,6.8,7,2700
MAX,14-Oct-14,1.16,1.18,1.08,1.14,393764600
MBAX,14-Oct-14,4.38,4.48,4.28,4.44,2794300
MBK,14-Oct-14,16.4,16.4,16.2,16.4,140500
MBKET,14-Oct-14,22.6,22.9,22.6,22.6,87000
MC,14-Oct-14,18.4,18.7,18.4,18.4,987700
MCOT,14-Oct-14,20.4,20.7,20.3,20.4,461700
MCS,14-Oct-14,5.45,5.45,5.35,5.35,315200
MDX,14-Oct-14,11.7,11.8,11.5,11.5,1934500
MEGA,14-Oct-14,19.3,19.4,19.2,19.2,324900
MFC,14-Oct-14,35.75,35.75,35.75,35.75,145900
MFEC,14-Oct-14,8,8.05,7.95,7.95,901700
MIDA,14-Oct-14,1.2,1.23,1.14,1.15,175569400
MILL,14-Oct-14,2.32,2.48,2.32,2.44,14482100
MINT,14-Oct-14,36.75,37,36,36.25,4043500
MJD,14-Oct-14,3.24,3.26,3.18,3.26,1366000
MJLF,14-Oct-14,12.1,12.3,12.1,12.2,88200
MK,14-Oct-14,4.3,4.32,4.24,4.24,788100
ML,14-Oct-14,2.46,2.46,2.36,2.42,13636700
MLINK,14-Oct-14,4.1,4.44,3.94,4.14,118692300
MNIT,14-Oct-14,3.16,3.28,3.16,3.28,13000
MNIT2,14-Oct-14,9.05,9.05,9.05,9.05,500
MNRF,14-Oct-14,9.1,9.15,9.05,9.1,279000
MODERN,14-Oct-14,10.8,10.9,10.7,10.8,1802900
